Column1,Column2
"[[4], [1, 2, 3]]",0.975493599
"[[4], [1, 2, 3]]",0.975600548
"[[4], [1, 2, 3]]",0.97577921
"[[4], [1, 2, 3]]",0.976185314
"[[4], [1, 2, 3]]",0.976764032
"[[4], [1, 2, 3]]",0.976910702
"[[4], [1, 2, 3]]",0.976954823
"[[4], [1, 2, 3]]",0.975790483
"[[4], [1, 2, 3]]",0.97444199
"[[4], [1, 2, 3]]",0.974195887
"[[4], [1, 2, 3]]",0.974359915
"[[4], [1, 2, 3]]",0.973534585
"[[4], [1, 2, 3]]",0.973846069
"[[4], [1, 2, 3]]",0.974208456
"[[4], [1, 2, 3]]",0.974627792
"[[4], [1, 2, 3]]",0.975017899
"[[4], [1, 2, 3]]",0.975701954
"[[4], [1, 2, 3]]",0.977735288
"[[4], [1, 2, 3]]",0.977698073
"[[4], [1, 2, 3]]",0.977911948
"[[4], [1, 2, 3]]",0.978577644
"[[4], [1, 2, 3]]",0.978805686
"[[4], [1, 2, 3]]",0.979981732
"[[4], [1, 2, 3]]",0.979401214
"[[4], [1, 2, 3]]",0.978641442
"[[4], [1, 2, 3]]",0.97809827
"[[4], [1, 2, 3]]",0.978167891
"[[4], [1, 2, 3]]",0.977971272
"[[4], [1, 2, 3]]",0.97792791
"[[4], [1, 2, 3]]",0.977926177
"[[4], [1, 2, 3]]",0.977938312
"[[4], [1, 2, 3]]",0.977970364
"[[4], [1, 2, 3]]",0.977790448
"[[4], [1, 2, 3]]",0.976691534
"[[2, 3], [1, 4]]",0.973310629
"[[2, 3], [1, 4]]",0.969703653
"[[2, 3], [1, 4]]",0.968787104
"[[2, 3], [1, 4]]",0.968285742
"[[2, 3], [1, 4]]",0.967471374
"[[2, 3], [1, 4]]",0.966743465
"[[2, 3], [1, 4]]",0.966395776
"[[2, 3], [1, 4]]",0.966297236
"[[1, 4], [2, 3]]",0.966208016
"[[2, 3], [1, 4]]",0.966290247
"[[1, 4], [2, 3]]",0.966484448
"[[2, 3], [1, 4]]",0.966691305
"[[2, 3], [1, 4]]",0.966824926
"[[1, 4], [2, 3]]",0.96706135
