Column1,Column2
"[[1], [2, 3, 4]]",0.9674539686214552
"[[1], [2, 3, 4]]",0.9674901018560733
"[[1], [2, 3, 4]]",0.9675141464357104
"[[1], [2, 3, 4]]",0.9675069330796784
"[[1], [2, 3, 4]]",0.9675025032681036
"[[1], [2, 3, 4]]",0.9674889338574405
"[[1], [2, 3, 4]]",0.9674653814412164
"[[1], [2, 3, 4]]",0.9674595663083774
"[[1], [2, 3, 4]]",0.9674687260890983
"[[1], [2, 3, 4]]",0.9674697539470594
"[[1], [2, 3, 4]]",0.9678384272776464
"[[1], [2, 3, 4]]",0.9675237282496386
"[[1], [2, 3, 4]]",0.9668713961803963
"[[1], [2, 3, 4]]",0.966828861531503
"[[1], [2, 3, 4]]",0.9668082022535973
"[[1], [2, 3, 4]]",0.9656548979827557
"[[1], [2, 3, 4]]",0.9656564818039625
"[[1], [2, 3, 4]]",0.9653832477673122
"[[1], [2, 3, 4]]",0.9657481778731121
"[[1], [2, 3, 4]]",0.9657698112163058
"[[1], [2, 3, 4]]",0.9658700721825102
"[[1], [2, 3, 4]]",0.9660260334128414
"[[1], [2, 3, 4]]",0.9661570901939696
"[[1], [2, 3, 4]]",0.9662442193480556
"[[1], [2, 3, 4]]",0.9662642137019788
"[[1], [2, 3, 4]]",0.9663143079892802
"[[1], [2, 3, 4]]",0.9664791591916194
"[[1], [2, 3, 4]]",0.9667705911246602
"[[1], [2, 3, 4]]",0.9673043582695176
"[[1], [2, 3, 4]]",0.9677898406545816
"[[1], [2, 3, 4]]",0.9680816341323645
"[[1], [2, 3, 4]]",0.9682921023617573
"[[1], [2, 3, 4]]",0.9684032795718052
"[[1], [2, 3, 4]]",0.9683984275265718
"[[1], [2, 3, 4]]",0.9686041294605134
"[[1], [2, 3, 4]]",0.9686040666750022
"[[1], [2, 3, 4]]",0.9688591254166268
"[[1], [2, 3, 4]]",0.9691284379984426
"[[1], [2, 3, 4]]",0.9695807318760729
"[[1], [2, 3, 4]]",0.9702586980415554
"[[1], [2, 3, 4]]",0.9702473188523181
"[[1], [2, 3, 4]]",0.9702885037329243
"[[1], [2, 3, 4]]",0.970099708748189
"[[1], [2, 3, 4]]",0.9699130737803205
"[[1], [2, 3, 4]]",0.9697665055264806
"[[1], [2, 3, 4]]",0.9696651199401005
"[[1], [2, 3, 4]]",0.9696303043550001
"[[1], [2, 3, 4]]",0.9696341428822679
"[[1], [2, 3, 4]]",0.9696466963975707
"[[1], [2, 3, 4]]",0.9696426001500213
"[[1], [2, 3, 4]]",0.969757770066549
"[[1], [2, 3, 4]]",0.9699705638233127
"[[1], [2, 3, 4]]",0.9702457849042803
"[[1], [2, 3, 4]]",0.9704698733091761
"[[1], [2, 3, 4]]",0.9706677603443206
"[[1], [2, 3, 4]]",0.9707311767586071
"[[1], [2, 3, 4]]",0.9637272172477429
"[[1], [2, 3, 4]]",0.9588838745352438
"[[1], [2, 3, 4]]",0.95907738936963
"[[1], [2, 3, 4]]",0.9605241095155952
"[[1], [2, 3, 4]]",0.9655993953557911
"[[1], [2, 3, 4]]",0.9705399174315724
"[[1], [2, 3, 4]]",0.9754745741683919
"[[4], [1, 2, 3]]",0.9804068766655354
"[[4], [1, 2, 3]]",0.9814734027622071
"[[4], [1, 2, 3]]",0.9813676188594675
"[[1], [2, 3, 4]]",0.9739021926464919
"[[1], [2, 3, 4]]",0.9692972510886331
"[[1], [2, 3, 4]]",0.9656145720684893
"[[1], [2, 3, 4]]",0.9635366345767871
"[[1], [2, 3, 4]]",0.9635100240362166
"[[1], [2, 3, 4]]",0.9631464013855613
"[[1], [2, 3, 4]]",0.9632548599985942
"[[1], [2, 3, 4]]",0.9633606043486649
"[[1], [2, 3, 4]]",0.9636127070169946
"[[1], [2, 3, 4]]",0.9638868964719727
"[[1], [2, 3, 4]]",0.9640146973996437
"[[1], [2, 3, 4]]",0.9640784443720926
"[[1], [2, 3, 4]]",0.9641837829077972
"[[1], [2, 3, 4]]",0.9645704491862233
"[[1], [2, 3, 4]]",0.9608538296609894
"[[1], [2, 3, 4]]",0.954096891639693
"[[1], [2, 3, 4]]",0.9470464992075909
"[[1], [2, 3, 4]]",0.9493082339959564
"[[1], [2, 3, 4]]",0.951147004816908
"[[1], [2, 3, 4]]",0.9527571486550981
"[[1], [2, 3, 4]]",0.9546100845355835
"[[1], [2, 3, 4]]",0.9561537010201562
"[[1], [2, 3, 4]]",0.9579223686059793
"[[1], [2, 3, 4]]",0.9587096105521062
"[[1], [2, 3, 4]]",0.955603074767464
"[[1], [2, 3, 4]]",0.9531616107750311
"[[1], [2, 3, 4]]",0.9519943222493149
"[[1], [2, 3, 4]]",0.9521762675578822
"[[1], [2, 3, 4]]",0.95321074769861
"[[1], [2, 3, 4]]",0.9533819296662198
"[[1], [2, 3, 4]]",0.9540062829609912
"[[1], [2, 3, 4]]",0.9545713675956549
"[[1], [2, 3, 4]]",0.9549949501041991
"[[1], [2, 3, 4]]",0.9554854873362316
"[[1], [2, 3, 4]]",0.9559710317560115
"[[1], [2, 3, 4]]",0.956619942109745
"[[1], [2, 3, 4]]",0.9571275344555371
"[[1], [2, 3, 4]]",0.9572596914212101
"[[1], [2, 3, 4]]",0.9571672839096226
"[[1], [2, 3, 4]]",0.9569076129260258
"[[1], [2, 3, 4]]",0.9573788911500682
"[[1], [2, 3, 4]]",0.9566207474217872
"[[1], [2, 3, 4]]",0.9559355038833633
"[[1], [2, 3, 4]]",0.9549328986857792
"[[1], [2, 3, 4]]",0.9537955451054076
"[[1], [2, 3, 4]]",0.9528222652282041
"[[1], [2, 3, 4]]",0.9520344599552613
"[[1], [2, 3, 4]]",0.9517183047623133
"[[1], [2, 3, 4]]",0.950553272295958
"[[1], [2, 3, 4]]",0.9494374728750663
"[[1], [2, 3, 4]]",0.9495165625566742
"[[1], [2, 3, 4]]",0.9494791863681804
