Column1,Column2,first 500 UK
"[[2], [1, 3, 4]]",0.902956194,0.902956194
"[[2], [1, 3, 4]]",0.902457913,0.902457913
"[[2], [1, 3, 4]]",0.90186976,0.90186976
"[[2], [1, 3, 4]]",0.901192942,0.901192942
"[[2], [1, 3, 4]]",0.900527662,0.900527662
"[[2], [1, 3, 4]]",0.900145647,0.900145647
"[[2], [1, 3, 4]]",0.899883827,0.899883827
"[[2], [1, 3, 4]]",0.899463379,0.899463379
"[[2], [1, 3, 4]]",0.897363137,0.897363137
"[[2], [1, 3, 4]]",0.895730899,0.895730899
"[[2], [1, 3, 4]]",0.893813501,0.893813501
"[[2], [1, 3, 4]]",0.892248856,0.892248856
"[[2], [1, 3, 4]]",0.891098296,0.891098296
"[[2], [1, 3, 4]]",0.89033977,0.89033977
"[[2], [1, 3, 4]]",0.889445225,0.889445225
"[[2], [1, 3, 4]]",0.88822232,0.88822232
"[[2], [1, 3, 4]]",0.886520734,0.886520734
"[[2], [1, 3, 4]]",0.884932866,0.884932866
"[[2], [1, 3, 4]]",0.88354598,0.88354598
"[[2], [1, 3, 4]]",0.882506097,0.882506097
"[[2], [1, 3, 4]]",0.881895771,0.881895771
"[[2], [1, 3, 4]]",0.881177656,0.881177656
"[[2], [1, 3, 4]]",0.88060561,0.88060561
"[[2], [1, 3, 4]]",0.880124996,0.880124996
"[[2], [1, 3, 4]]",0.879793728,0.879793728
"[[2], [1, 3, 4]]",0.879425745,0.879425745
"[[2], [1, 3, 4]]",0.878752747,0.878752747
"[[2], [1, 3, 4]]",0.878110003,0.878110003
"[[2], [1, 3, 4]]",0.877769291,0.877769291
"[[2], [1, 3, 4]]",0.8776978,0.8776978
"[[2], [1, 3, 4]]",0.877313948,0.877313948
"[[2], [1, 3, 4]]",0.877281074,0.877281074
"[[2], [1, 3, 4]]",0.877388183,0.877388183
"[[2], [1, 3, 4]]",0.877394827,0.877394827
"[[2], [1, 3, 4]]",0.877767256,0.877767256
"[[2], [1, 3, 4]]",0.877971035,0.877971035
"[[2], [1, 3, 4]]",0.878144405,0.878144405
"[[2], [1, 3, 4]]",0.878487748,0.878487748
"[[2], [1, 3, 4]]",0.879032547,0.879032547
"[[2], [1, 3, 4]]",0.879188414,0.879188414
"[[2], [1, 3, 4]]",0.878309855,0.878309855
"[[2], [1, 3, 4]]",0.877682914,0.877682914
"[[2], [1, 3, 4]]",0.877529053,0.877529053
"[[2], [1, 3, 4]]",0.877549208,0.877549208
"[[2], [1, 3, 4]]",0.877673871,0.877673871
"[[2], [1, 3, 4]]",0.878052966,0.878052966
"[[2], [1, 3, 4]]",0.878554246,0.878554246
"[[2], [1, 3, 4]]",0.878915063,0.878915063
"[[2], [1, 3, 4]]",0.87884585,0.87884585
"[[2], [1, 3, 4]]",0.880029647,0.880029647
"[[2], [1, 3, 4]]",0.881433246,0.881433246
"[[2], [1, 3, 4]]",0.882663979,0.882663979
"[[2], [1, 3, 4]]",0.883485517,0.883485517
"[[2], [1, 3, 4]]",0.884284628,0.884284628
"[[2], [1, 3, 4]]",0.884899036,0.884899036
"[[2], [1, 3, 4]]",0.885718477,0.885718477
"[[2], [1, 3, 4]]",0.888375181,0.888375181
"[[2], [1, 3, 4]]",0.890352436,0.890352436
"[[2], [1, 3, 4]]",0.8927363,0.8927363
"[[2], [1, 3, 4]]",0.894647918,0.894647918
"[[2], [1, 3, 4]]",0.896283187,0.896283187
"[[2], [1, 3, 4]]",0.8978579,0.8978579
"[[2], [1, 3, 4]]",0.899416341,0.899416341
"[[2], [1, 3, 4]]",0.901773289,0.901773289
"[[2], [1, 3, 4]]",0.90442402,0.90442402
"[[2], [1, 3, 4]]",0.906975964,0.906975964
"[[2], [1, 3, 4]]",0.909445594,0.909445594
"[[2], [1, 3, 4]]",0.911503223,0.911503223
"[[2], [1, 3, 4]]",0.913331279,0.913331279
"[[2], [1, 3, 4]]",0.915402901,0.915402901
"[[2], [1, 3, 4]]",0.917127881,0.917127881
"[[2], [1, 3, 4]]",0.918652756,0.918652756
"[[2], [1, 3, 4]]",0.919734129,0.919734129
"[[2], [1, 3, 4]]",0.921528928,0.921528928
"[[2], [1, 3, 4]]",0.923988867,0.923988867
"[[2], [1, 3, 4]]",0.926310328,0.926310328
"[[2], [1, 3, 4]]",0.927982848,0.927982848
"[[2], [1, 3, 4]]",0.929398041,0.929398041
"[[2], [1, 3, 4]]",0.931829329,0.931829329
"[[2], [1, 3, 4]]",0.933011958,0.933011958
"[[2], [1, 3, 4]]",0.935048024,0.935048024
"[[2], [1, 3, 4]]",0.937198477,0.937198477
"[[2], [1, 3, 4]]",0.938584091,0.938584091
"[[2], [1, 3, 4]]",0.939489282,0.939489282
"[[2], [1, 3, 4]]",0.940079643,0.940079643
"[[2], [1, 3, 4]]",0.940665892,0.940665892
"[[2], [1, 3, 4]]",0.941251542,0.941251542
"[[2], [1, 3, 4]]",0.942130562,0.942130562
"[[2], [1, 3, 4]]",0.943125258,0.943125258
"[[2], [1, 3, 4]]",0.944344089,0.944344089
"[[2], [1, 3, 4]]",0.945787615,0.945787615
"[[2], [1, 3, 4]]",0.946919771,0.946919771
"[[2], [1, 3, 4]]",0.947858071,0.947858071
"[[2], [1, 3, 4]]",0.948786767,0.948786767
"[[2], [1, 3, 4]]",0.949491009,0.949491009
"[[2], [1, 3, 4]]",0.949956797,0.949956797
"[[2], [1, 3, 4]]",0.950375122,0.950375122
"[[2], [1, 3, 4]]",0.950748266,0.950748266
"[[2], [1, 3, 4]]",0.95125651,0.95125651
"[[2], [1, 3, 4]]",0.95153606,0.95153606
"[[2], [1, 3, 4]]",0.951746747,0.951746747
"[[2], [1, 3, 4]]",0.951880273,0.951880273
"[[2], [1, 3, 4]]",0.951972902,0.951972902
"[[2], [1, 3, 4]]",0.951947537,0.951947537
"[[2], [1, 3, 4]]",0.951908633,0.951908633
"[[2], [1, 3, 4]]",0.951907213,0.951907213
"[[2], [1, 3, 4]]",0.951906982,0.951906982
"[[2], [1, 3, 4]]",0.951914084,0.951914084
"[[2], [1, 3, 4]]",0.951910579,0.951910579
"[[2], [1, 3, 4]]",0.951894653,0.951894653
"[[2], [1, 3, 4]]",0.951865933,0.951865933
"[[2], [1, 3, 4]]",0.951871418,0.951871418
"[[2], [1, 3, 4]]",0.951984744,0.951984744
"[[2], [1, 3, 4]]",0.952100837,0.952100837
"[[2], [1, 3, 4]]",0.952252788,0.952252788
"[[2], [1, 3, 4]]",0.952464828,0.952464828
"[[2], [1, 3, 4]]",0.952706459,0.952706459
"[[2], [1, 3, 4]]",0.952913447,0.952913447
"[[2], [1, 3, 4]]",0.953058473,0.953058473
"[[2], [1, 3, 4]]",0.953261898,0.953261898
"[[2], [1, 3, 4]]",0.953518887,0.953518887
"[[2], [1, 3, 4]]",0.953889842,0.953889842
"[[2], [1, 3, 4]]",0.954063771,0.954063771
