New_Strength,Price_GridCI_Pearson,Status
0.9581823683648207,0.5258169960290541,1
0.9582190444234531,0.52797500491192,1
0.9582386722674023,0.5291970096717155,1
0.9582277441040477,0.5284928726783136,1
0.9582209502133677,0.5280545316025945,1
0.9582289805753942,0.5285608184535298,1
0.958071212899819,0.5210021103734224,1
0.9579536268539939,0.5155344050901184,1
0.9579503569480188,0.5153563754371137,1
0.9580461483652527,0.5179232138589993,1
0.9580994404079897,0.5197187215933474,1
0.9580591052013903,0.5194621540239773,1
0.9580593642099837,0.5192409120015886,1
0.9580595620914643,0.519096161275909,1
0.9580622782102362,0.5198859236002851,1
0.9581135786572422,0.5218577454962984,1
0.9582292303387686,0.5237661672049808,1
0.9581725524212392,0.5227318335115572,1
0.958251894835829,0.5236141099091463,1
0.9588029313589801,0.5306292239886623,1
0.9592337447107399,0.5368887613318318,1
0.95927864106344,0.5389205310390537,1
0.9602656716623261,0.5516082202458505,1
0.964446215918148,0.5892301347755461,1
0.9681545982443565,0.6076832058966027,1
0.971352722829039,0.6094403030446237,1
0.973907483293912,0.5937323086015646,1
0.9760279373521057,0.5600746318940992,1
0.9780758145992903,0.5153545866664776,0
0.9792990159461082,0.46984505608301036,0
0.9789384603831581,0.44029050254000607,0
0.978479506464507,0.4186440461185552,0
0.9784560377369048,0.4014174784887408,0
0.9783737624322331,0.39675270001044505,0
0.9800765345254866,0.3966789289323096,0
0.9805321069500155,0.3894320706765225,0
0.9807069673248587,0.38463506710908724,0
0.9809670391140014,0.3804163372763475,0
0.9812234515824143,0.37686779561821726,0
0.9815220427501274,0.3737760701188451,0
0.9818296212428204,0.37078583364789885,0
0.9821813155683217,0.36755071167322206,0
0.9825879239276436,0.3640891327382603,0
0.9829387877988524,0.36041796005890275,0
0.9829282758366837,0.3614968817246014,0
0.9830522652374681,0.3618715459626203,0
0.9832841900766187,0.3558858364476415,0
0.9832360471902473,0.3539901109421052,0
0.9832524381085618,0.35716686648077717,0
0.9833857882153139,0.3688900427119375,0
0.9836798212978406,0.3943712471320524,0
0.983983642222882,0.4224767044524799,0
0.9845645860377477,0.4746160413344691,0
0.9848876606299202,0.5044996481563573,0
0.9855728285679743,0.5612917737511868,0
0.9861577845226346,0.6044841653798142,0
0.9863108775215256,0.6117390792621695,0
0.9863566943436408,0.6087148218948537,0
0.9863604846393332,0.6058356012263316,0
0.9863224388089313,0.6059176308231831,0
0.9863223932672948,0.6059270495613502,0
0.9863601035016483,0.6059097583395308,0
0.9863932471335433,0.6045864014958601,0
0.9863524357815903,0.6048974406226352,0
0.986393888642502,0.6057174912082056,0
0.9863800479387317,0.6072441778375047,0
0.9863540956141954,0.6060367715013767,0
0.9863407065006795,0.6046790483443852,0
0.9859500048661433,0.5918901814432631,0
0.9855489206191634,0.5796958428188392,0
0.9817583555912256,0.5146145452439269,0
0.976610310657146,0.43653435448493205,1
0.9726033505622496,0.41325538502017894,1
0.9688100949058935,0.4090031067283355,1
0.9653327737922482,0.41757591730311255,1
0.9618750605297732,0.4356936968278642,1
0.9583164201819654,0.45356642430434585,1
0.9544551367531351,0.46318080433558007,1
0.951357468808333,0.46121830144612963,1
0.9513156883836928,0.45932553859967884,1
0.9510434905980092,0.460624717216496,1
0.9508831377488977,0.45706580607577346,1
0.9512140054056997,0.4542131162458633,1
0.9512735947437649,0.45400544441919255,1
0.9512940370565195,0.45373988654356306,1
0.9510465351299885,0.4563424164635542,1
0.9510564670982299,0.4565635252380399,1
0.9510818988954187,0.45663194600452794,1
0.9511038703757428,0.456535004066601,1
0.9511200525823054,0.4561576657141769,1
0.9511413840994369,0.45600703638937107,1
0.9511945289010647,0.45551484539879544,1
0.9512036087767977,0.4548208643541659,1
0.9512547626417349,0.4540369212525018,1
0.951280669751755,0.45336008106040576,1
0.9512804918125599,0.4524143471117035,1
0.951233514794322,0.4557900456623012,1
0.9511325741749865,0.4488063701485442,1
0.951063883868756,0.4390382447941046,1
0.9511675280409395,0.44861319883951867,1
0.9511316105412125,0.4462960290986994,1
0.9512849236963017,0.4633946372652262,1
0.951335761234394,0.46969140786726216,1
0.9512985590356755,0.4676830786549187,1
0.9512744280871863,0.46620312156111193,1
0.9512964766424361,0.4654319687486696,1
0.951321010866846,0.46505431950601406,1
0.9513098114481219,0.4647439394593182,1
0.9512917445315038,0.4642390727649932,1
0.951281295836657,0.463963313832542,1
0.9512823664422879,0.46476233603594996,1
0.9511899266709783,0.46560950981736576,1
0.951139343750572,0.4667498851182685,1
0.9510988061108052,0.46989783283976083,1
0.9511033915639105,0.4746609234439953,1
0.9513129360360488,0.48218881355141774,1
0.9520445347019979,0.49049717051791164,1
0.9523599314059541,0.4924080729041942,1
0.9561056701550973,0.513478601856926,1
0.9613785696248193,0.5572187515503311,1
0.96607015991345,0.568932267650203,1
0.9700442658098158,0.5666338464765951,1
0.9737652445874401,0.5551662234556701,1
0.9775572846739724,0.5347863642296373,0
0.9816705293543614,0.5148383027133506,0
0.9862227187381531,0.5394629635774303,0
0.9899853292939693,0.6098861125098038,0
0.9902984273890945,0.6331324803011346,0
0.9907470503946492,0.6528084218613788,0
0.990923988230987,0.6661656975622181,0
0.9908676676347161,0.6677219020126525,0
0.9904780486696932,0.6672549197016688,0
0.9901259184599112,0.6674466747023217,0
0.9900302474802509,0.6676828814765804,0
0.9896002636090504,0.6671310916942838,0
0.9893135146500958,0.6675804185979304,0
0.9890938606840184,0.6685353968870521,0
0.9889122348574018,0.6705093104259188,0
0.9888757777007999,0.6719947470490587,0
0.9888712822459378,0.6735400867618568,0
0.9888500866366066,0.6749630439434225,0
0.9888469637292188,0.675804166105683,0
0.9888323938618998,0.6758637194701913,0
0.9887827024615681,0.6741119775061541,0
