time,nh3_1,h2_1,nh3_2,h2_2,nh3_3,h2_3,nh3_4,h2_4
18,1100.0,499.5000000000001,1100.0,299.69999999999993,948.562500000005,166.49999999999972,750.0,3.410605131648481e-13
19,1100.0,499.5000000000001,1100.0,299.69999999999993,948.562500000005,166.49999999999972,750.0,3.410605131648481e-13
20,1100.0,499.5000000000001,1100.0,299.69999999999993,948.562500000005,166.49999999999972,750.0,3.410605131648481e-13
21,1100.0,219.0882352941154,1100.0,299.69999999999993,948.5625000000045,-3.694822225952521e-13,750.0,3.410605131648481e-13
22,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,848.5625000000036,-1.9895196601282805e-13,750.0,3.410605131648481e-13
23,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,848.5625000000018,-5.115907697472721e-13,750.0,3.410605131648481e-13
24,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,848.5625000000018,-5.115907697472721e-13,750.0,3.410605131648481e-13
25,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,848.5625,5.684341886080802e-14,750.0,3.410605131648481e-13
26,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
27,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
28,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
29,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
30,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
31,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
32,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
33,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
34,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
35,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,32.35294117647061
36,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,32.35294117647061
37,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,32.35294117647061
38,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,64.70588235294088
39,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
40,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,291.17647058823275
41,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
42,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
43,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
44,1100.0,1.1368683772161603e-13,1100.0,1.1368683772161603e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
45,1100.0,1.1368683772161603e-13,1069.642857142877,2.2737367544323206e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
46,1100.0,1.1368683772161603e-13,1069.642857142877,2.2737367544323206e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
47,1100.0,1.1368683772161603e-13,1069.642857142877,2.2737367544323206e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
48,1100.0,1.1368683772161603e-13,1069.642857142877,2.2737367544323206e-13,750.0,3.410605131648481e-13,750.0,3.410605131648481e-13
