time,price,gridCI
1,0.13274605565444944,0.59613
2,0.06313995770383557,0.5966
3,0.06397675232400687,0.5963200000000001
4,7.607223819739224e-5,0.59541
5,7.607223819739224e-5,0.59512
6,7.607223819739224e-5,0.59553
7,7.607223819739224e-5,0.59613
8,7.607223819739224e-5,0.58513
9,7.607223819739224e-5,0.581
10,7.607223819739224e-5,0.54572
11,7.607223819739224e-5,0.52989
12,7.607223819739224e-5,0.53404
13,7.607223819739224e-5,0.54276
14,7.607223819739224e-5,0.54235
15,7.607223819739224e-5,0.54234
16,7.607223819739224e-5,0.5379700000000001
17,7.607223819739224e-5,0.53895
18,7.607223819739224e-5,0.54073
19,7.607223819739224e-5,0.5439299999999999
20,7.607223819739224e-5,0.5505599999999999
21,0.00022821671459217672,0.5558
22,0.11228262357935094,0.57062
23,0.1276492156952242,0.59614
24,0.15214447639478448,0.5963999999999999
25,0.13982077380680694,0.596
26,0.17298826966086994,0.59551
27,0.17298826966086994,0.5951900000000001
28,0.17298826966086994,0.5958
29,0.17298826966086994,0.595
30,0.1462869140535853,0.59553
31,0.13906005142483302,0.59633
32,0.12255237573599889,0.5921900000000001
33,0.11403228505789097,0.58848
34,0.08154943934760449,0.54704
35,0.08185372830039404,0.5253
36,0.06785643647207387,0.5146499999999999
37,0.07607223819739224,0.51146
38,0.1306160329849225,0.50739
39,0.13982077380680694,0.51202
40,0.13982077380680694,0.5067699999999999
41,0.13982077380680694,0.51701
42,0.13982077380680694,0.5244500000000001
43,0.1491015868668888,0.5376000000000001
44,0.14932980358148096,0.55426
45,0.1462869140535853,0.57751
46,0.14932980358148096,0.5986699999999999
47,0.14932980358148096,0.59813
48,0.13274605565444944,0.59714
