cost,emission,role
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,965752.181052631,
105131.0878410138,991587.155592982,Pure cost
116173.12535984165,961908.5540491226,Intermediate 1
129198.9602926939,958328.8103859648,
132035.09989085633,957652.7874807017,Intermediate 2
142767.49297132556,955672.4264982457,
149434.89398866493,954676.5765052631,
149434.89398866493,954676.5765052631,
157590.36279517697,954244.6545403507,Pure emission
157590.36279517697,954244.6545403507,
