chlor_strength,ammonia_strength
0.9581823683648207,0.9674539686214552
0.9582190444234531,0.9674901018560733
0.9582386722674023,0.9675141464357104
0.9582277441040477,0.9675069330796784
0.9582209502133677,0.9675025032681036
0.9582289805753942,0.9674889338574405
0.958071212899819,0.9674653814412164
0.9579536268539939,0.9674595663083774
0.9579503569480188,0.9674687260890983
0.9580461483652527,0.9674697539470594
0.9580994404079897,0.9678384272776464
0.9580591052013903,0.9675237282496386
0.9580593642099837,0.9668713961803963
0.9580595620914643,0.966828861531503
0.9580622782102362,0.9668082022535973
0.9581135786572422,0.9656548979827557
0.9582292303387686,0.9656564818039625
0.9581725524212392,0.9653832477673122
0.958251894835829,0.9657481778731121
0.9588029313589801,0.9657698112163058
0.9592337447107399,0.9658700721825102
0.95927864106344,0.9660260334128414
0.9602656716623261,0.9661570901939696
0.964446215918148,0.9662442193480556
0.9681545982443565,0.9662642137019788
0.971352722829039,0.9663143079892802
0.973907483293912,0.9664791591916194
0.9760279373521057,0.9667705911246602
0.9780758145992903,0.9673043582695176
0.9792990159461082,0.9677898406545816
0.9789384603831581,0.9680816341323645
0.978479506464507,0.9682921023617573
0.9784560377369048,0.9684032795718052
0.9783737624322331,0.9683984275265718
0.9800765345254866,0.9686041294605134
0.9805321069500155,0.9686040666750022
0.9807069673248587,0.9688591254166268
0.9809670391140014,0.9691284379984426
0.9812234515824143,0.9695807318760729
0.9815220427501274,0.9702586980415554
0.9818296212428204,0.9702473188523181
0.9821813155683217,0.9702885037329243
0.9825879239276436,0.970099708748189
0.9829387877988524,0.9699130737803205
0.9829282758366837,0.9697665055264806
0.9830522652374681,0.9696651199401005
0.9832841900766187,0.9696303043550001
0.9832360471902473,0.9696341428822679
0.9832524381085618,0.9696466963975707
0.9833857882153139,0.9696426001500213
0.9836798212978406,0.969757770066549
0.983983642222882,0.9699705638233127
0.9845645860377477,0.9702457849042803
0.9848876606299202,0.9704698733091761
0.9855728285679743,0.9706677603443206
0.9861577845226346,0.9707311767586071
0.9863108775215256,0.9637272172477429
0.9863566943436408,0.9588838745352438
0.9863604846393332,0.95907738936963
0.9863224388089313,0.9605241095155952
0.9863223932672948,0.9655993953557911
0.9863601035016483,0.9705399174315724
0.9863932471335433,0.9754745741683919
0.9863524357815903,0.9804068766655354
0.986393888642502,0.9814734027622071
0.9863800479387317,0.9813676188594675
0.9863540956141954,0.9739021926464919
0.9863407065006795,0.9692972510886331
0.9859500048661433,0.9656145720684893
0.9855489206191634,0.9635366345767871
0.9817583555912256,0.9635100240362166
0.976610310657146,0.9631464013855613
0.9726033505622496,0.9632548599985942
0.9688100949058935,0.9633606043486649
0.9653327737922482,0.9636127070169946
0.9618750605297732,0.9638868964719727
0.9583164201819654,0.9640146973996437
0.9544551367531351,0.9640784443720926
0.951357468808333,0.9641837829077972
0.9513156883836928,0.9645704491862233
0.9510434905980092,0.9608538296609894
0.9508831377488977,0.954096891639693
0.9512140054056997,0.9470464992075909
0.9512735947437649,0.9493082339959564
0.9512940370565195,0.951147004816908
0.9510465351299885,0.9527571486550981
0.9510564670982299,0.9546100845355835
0.9510818988954187,0.9561537010201562
0.9511038703757428,0.9579223686059793
0.9511200525823054,0.9587096105521062
0.9511413840994369,0.955603074767464
0.9511945289010647,0.9531616107750311
0.9512036087767977,0.9519943222493149
0.9512547626417349,0.9521762675578822
0.951280669751755,0.95321074769861
0.9512804918125599,0.9533819296662198
0.951233514794322,0.9540062829609912
0.9511325741749865,0.9545713675956549
0.951063883868756,0.9549949501041991
0.9511675280409395,0.9554854873362316
0.9511316105412125,0.9559710317560115
0.9512849236963017,0.956619942109745
0.951335761234394,0.9571275344555371
0.9512985590356755,0.9572596914212101
0.9512744280871863,0.9571672839096226
0.9512964766424361,0.9569076129260258
0.951321010866846,0.9573788911500682
0.9513098114481219,0.9566207474217872
0.9512917445315038,0.9559355038833633
0.951281295836657,0.9549328986857792
0.9512823664422879,0.9537955451054076
0.9511899266709783,0.9528222652282041
0.951139343750572,0.9520344599552613
0.9510988061108052,0.9517183047623133
0.9511033915639105,0.950553272295958
0.9513129360360488,0.9494374728750663
0.9520445347019979,0.9495165625566742
0.9523599314059541,0.9494791863681804
0.9561056701550973,0.9495844645463645
0.9613785696248193,0.9494520221069229
0.96607015991345,0.950023850650457
0.9700442658098158,0.9498706463224407
0.9737652445874401,0.9498426428115252
0.9775572846739724,0.9499102309305856
0.9816705293543614,0.9502458075765574
0.9862227187381531,0.9504239444051197
0.9899853292939693,0.9506648141286779
